tenyear_ratio_change,former_fiveyear_ratiochange,later_fiveyear_ratiochange,air_budget_permillion,enviro_budget_permillion,health_budget_permillion,school_budget_permillion,media_budget_permillion,sub_budget_permillion,DGP_perhead,region
0.000074,0.00001683,0.00005715,29.60404589,22.20303441,14.80202294,49.34007648,4.934007648,2.467003824,7881451,London
-0.0002916,0.00026431,-0.00055595,7.760600981,2.2825297,3.65204752,6.391083161,2.2825297,0.91301188,22232,East_Around_London
0.00024977,0.00012353,0.00012624,4.323723488,1.636003482,0.818001741,1.986575657,0.818001741,0.818001741,17982,North_East
0.0005462,0.00016943,0.00037677,3.303844164,2.359888689,0.849559928,0.37758219,1.227142118,0.37758219,46706,East_Around_London
0.00023713,0.000142,0.00009513,2.339734242,1.509505963,0.528327087,1.584981261,0.754752981,0.754752981,36023,North_West
0.00021409,0.0002202,-0.00000612,2.312666096,1.67668292,0.289083262,1.098516396,0.751616481,0.751616481,15943,North_East
0.0001036,0.0000037,0.00009992,2.119392441,1.926720401,0.642240134,1.412928294,0.38534408,0.57801612,56482,East_Around_London
0.0000902,0.00008938,0.0000008,2.037049863,3.734591415,0.33950831,1.358033242,1.131694368,0.33950831,27227,North_East
0.0002643,0.00016339,0.00010088,1.965795164,2.204073366,0.774404156,0.655265055,0.714834605,0.238278202,55831,East_Around_London
0.0001835,0.00014244,0.00004101,1.873328415,0.324229918,0.540383197,1.152817486,0.50435765,0.648459836,32477,East_Around_London
-0.0000964,-0.00001582,-0.00008053,1.864081326,1.864081326,0.873788121,0.932040663,0.932040663,0.582525414,17093,South_West
0.00081654,0.00013733,0.0006792,1.674502153,2.131184558,0.507424895,1.01484979,0.9641073,0.304454937,71268,London
0.0001869,0.00001809,0.00016882,1.669660775,2.346550278,0.767141437,0.361007735,0.135377901,0.586637569,27735,East_Around_London
0.00060774,0.00038564,0.0002221,1.664110921,0.462253034,0.55470364,1.386759101,0.431436165,0.431436165,24294,London
0.00010437,-0.00001874,0.00012311,1.643052916,1.300750225,0.616144843,1.916895068,0.684605381,0.616144843,22358,North_West
0.0003321,0.00004975,0.00028236,1.63983711,0.971755324,0.141714318,0.485877662,0.263183734,0.323918441,31322,East_Around_London
0.00031004,0.00009813,0.00021191,1.577746739,1.465050543,0.732525272,2.028531521,0.788873369,0.225392391,62478,London
0.00058454,0.00018516,0.00039938,1.471486275,0.551807353,0.286122331,1.3079878,0.306559641,0.143061166,28039,London
0.00030985,-0.00002456,0.00033441,1.434261706,0.904208467,0.561232841,1.060106478,0.436514432,0.249436818,22091,Yorkshire_and_the_Humber
0.00017584,0.00015888,0.00001696,1.432510833,0.775943368,0.567035538,0.835631319,0.537191563,0.328283733,45759,South_West
0.00070799,0.00017969,0.0005283,1.419345682,1.878545755,0.542690996,1.127127453,0.793163763,0.083490922,82492,London
0.00077031,0.0000371,0.00073321,1.398451163,1.704362355,0.568120785,0.917733576,1.223644768,0.262209593,33383,London
0.00024517,0.00006751,0.00017766,1.389335548,2.413056478,0.731229236,1.243089701,0.950598007,0.658106312,24189,North_East
0.00021931,-0.00004806,0.00026737,1.346769423,0.754190877,0.377095439,1.723864862,1.346769423,0.377095439,22991,Yorkshire_and_the_Humber
0.00068906,0.00013528,0.00055379,1.338694405,0.598889602,0.669347203,0.739804803,0.951177604,0.317059201,23700,North_East
0.00067926,0.00011581,0.00056345,1.328797704,1.923259835,0.279746885,1.049050819,0.804272294,0.209810164,30989,London
0.00027917,0.00007862,0.00020055,1.321951857,0.55521978,0.423024594,1.744976451,0.317268446,0.396585557,135520,London
0.00027973,0.00013825,0.00014148,1.317460262,1.433706756,0.658730131,1.317460262,0.30999065,0.426237144,29561,Yorkshire_and_the_Humber
0.00018161,-0.00009218,0.00027379,1.316724596,1.467207407,0.564310541,1.504828109,0.263344919,0.112862108,18420,North_West
0.00038777,0.00026292,0.00012485,1.310362376,1.554150725,0.457103154,0.67041796,0.365682524,0.213314805,24601,North_East
0.0000311,-0.00010795,0.00013902,1.253036086,1.212615567,0.687148821,1.576400238,0.282943632,0.242523113,29192,South_West
0.0003435,0.00022089,0.00012261,1.20834015,1.23932323,0.495729292,1.177357069,0.557695454,0.278847727,27640,North_East
0.0004687,0.0001202,0.0003485,1.172752274,1.612534376,0.439782103,1.172752274,1.075022918,0.390917425,21573,East_Around_London
0.00084385,0.00017374,0.00067011,1.159023512,1.236291746,1.004487044,1.622632917,1.390828214,0.618145873,23874,North_West
0.0001605,0.00003594,0.00012459,1.148821115,1.811602528,0.132556283,1.325562825,0.397668848,0.441854275,19772,East_Around_London
0.0004011,0.00031015,0.00009094,1.143980641,1.143980641,1.220246017,2.059165153,1.143980641,1.677838273,58427,East_Around_London
0.00044151,0.00008111,0.0003604,1.117078726,0.948751795,0.367258759,0.459073449,0.214234276,0.260141621,18052,North_West
0.00035311,0.00002999,0.00032312,1.114596759,0.253317445,0.481303146,1.317250715,0.861279314,0.531966635,40105,North_West
0.0002738,0.00014062,0.00013322,1.100783136,2.256605428,0.715509038,1.045743979,0.550391568,0.330234941,45253,East_Around_London
0.0000936,0.00033446,-0.00024083,1.094698591,1.81407195,0.312771026,1.094698591,0.187662616,0.156385513,50339,West_Midlands
0.0000563,-0.00011896,0.00017527,1.082578639,1.377827359,0.623302853,1.640270666,0.328054133,0.229637893,25133,South_West
0.0001385,0.00013919,-0.00000072,1.082538956,1.855781067,1.598033697,0.927890534,0.567044215,0.154648422,28283,East_Around_London
0.0007338,0.00016643,0.00056737,1.062095408,0.66380963,0.365095297,1.427190705,0.66380963,0.464666741,19497,North_West
0.00047082,0.00017265,0.00029816,1.049583414,1.377578231,0.174930569,0.874652845,0.481059065,0.19679689,68136,London
0.0002402,0.00006427,0.00017595,1.03751869,0.671335623,0.732366134,1.251125479,0.823911901,0.427213578,30872,East_Around_London
0.00045595,0.00026067,0.00019528,0.993667671,1.090610858,0.121178984,0.630130718,0.702838109,0.339301156,18769,Yorkshire_and_the_Humber
0.00076302,0.00032076,0.00044226,0.989921363,1.608622215,0.659947575,1.19615498,0.494960682,0.412467235,41752,London
0.00019828,0.00012695,0.00007133,0.988862931,1.236078664,0.927058998,2.348549462,0.370823599,0.309019666,29192,South_West
0.00061051,0.000348,0.0002625,0.986108484,1.294267386,0.123263561,0.842300997,0.205439268,0.225983194,22518,London
0.00056404,0.00014238,0.00042167,0.983920194,0.190760038,0.220880044,0.753000148,0.552200109,0.120480024,34843,North_West
0.00015789,0.00025217,-0.00009428,0.983169687,1.103909824,0.327723229,0.741689413,0.327723229,0.137988728,21303,Yorkshire_and_the_Humber
0.0000136,-0.00004926,0.00006284,0.964856435,1.114575537,0.249531837,0.63214732,0.515699129,0.349344571,32231,East_Around_London
0.0004875,0.00025482,0.00023268,0.964767799,0.657160674,0.41946426,0.573267822,0.195749988,0.111857136,18497,North_West
0.00050299,0.00019447,0.00030852,0.959270257,1.186006863,0.191854051,0.436031935,0.540679599,0.191854051,23486,North_West
